Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
128,Spencer Dinwiddie,SG,BRK,2.0,5.3,4.3,3.0,0.7,0.3,1.7,6.7
129,Donte DiVincenzo,SG,MIL,3.8,9.1,5.8,3.1,1.1,0.2,1.4,10.4
130,Luka Dončić,PG,DAL,9.8,20.5,8.0,8.6,1.0,0.5,4.3,27.7
131,Luguentz Dort,SG,OKC,4.8,12.3,3.6,1.7,0.9,0.4,1.5,14.0
132,Damyean Dotson,SG,CLE,2.6,6.4,2.0,2.0,0.3,0.1,0.9,6.7
133,Devon Dotson,PG,CHI,1.0,1.9,0.5,0.6,0.4,0.0,0.0,2.1
134,Sekou Doumbouya,PF,DET,1.9,5.0,2.6,0.8,0.4,0.2,0.8,5.1
135,PJ Dozier,SG,DEN,3.0,7.1,3.6,1.8,0.6,0.4,0.9,7.7
136,Goran Dragić,PG,MIA,4.8,11.1,3.4,4.4,0.7,0.2,2.4,13.4
137,Andre Drummond,C,CLE,7.2,15.2,13.5,2.6,1.6,1.2,3.2,17.5
137,Andre Drummond,C,LAL,4.9,9.1,10.2,1.4,1.1,1.0,2.0,11.9
138,Jared Dudley,PF,LAL,0.2,0.8,1.8,0.4,0.1,0.1,0.2,0.5
139,Kris Dunn,PG,ATL,0.3,3.0,1.5,0.5,0.5,0.5,0.8,1.3
140,Kevin Durant,PF,BRK,9.3,17.2,7.1,5.6,0.7,1.3,3.4,26.9
141,Anthony Edwards,SG,MIN,7.0,16.8,4.7,2.9,1.1,0.5,2.2,19.3
142,Carsen Edwards,SG,BOS,1.5,3.6,0.8,0.5,0.2,0.0,0.2,4.0
143,CJ Elleby,SF,POR,0.8,2.2,1.1,0.3,0.2,0.1,0.2,2.3
144,Henry Ellenson,PF,TOR,2.5,7.0,6.0,2.5,0.0,0.0,0.0,7.5
145,Wayne Ellington,SG,DET,3.2,7.3,1.8,1.5,0.4,0.2,0.7,9.6
146,Joel Embiid,C,PHI,9.0,17.6,10.6,2.8,1.0,1.4,3.1,28.5
147,James Ennis,SF,ORL,2.8,5.9,4.0,1.5,0.8,0.2,0.9,8.4
148,Drew Eubanks,C,SAS,2.1,3.8,4.5,0.8,0.3,0.9,0.8,5.8
149,Dante Exum,SG,CLE,1.7,4.3,2.8,2.2,0.7,0.3,1.2,3.8
150,Tacko Fall,C,BOS,1.1,1.5,2.7,0.2,0.1,1.1,0.3,2.5
151,Derrick Favors,C,UTA,2.3,3.6,5.5,0.6,0.5,1.0,0.5,5.4
152,Cristiano Felício,C,CHI,0.4,0.7,1.4,0.5,0.2,0.0,0.2,1.3
153,Terrance Ferguson,SG,PHI,0.1,0.5,0.1,0.2,0.1,0.0,0.3,0.2
154,Bruno Fernando,C,ATL,0.5,1.3,2.4,0.3,0.1,0.1,0.6,1.5
155,Yogi Ferrell,PG,CLE,4.0,10.5,3.5,2.5,1.5,0.5,1.5,9.5
155,Yogi Ferrell,PG,LAC,1.5,4.5,1.5,2.1,0.5,0.3,0.0,4.6
156,Dorian Finney-Smith,PF,DAL,3.7,7.8,5.4,1.7,0.9,0.4,0.8,9.8
157,Malik Fitts,PF,LAC,0.3,1.0,1.0,0.0,0.0,0.0,0.0,1.0
